iter	Passed	Remaining
0	25	12596
1	27	6932
2	29	4965
3	32	4043
4	34	3430
5	36	3030
6	39	2750
7	41	2534
8	43	2366
9	45	2226
10	47	2115
11	49	2018
12	51	1938
13	53	1868
14	55	1808
15	57	1753
16	60	1708
17	62	1666
18	64	1634
19	66	1605
20	69	1581
21	71	1551
22	73	1524
23	75	1501
24	77	1480
25	80	1462
26	82	1443
27	84	1423
28	86	1405
29	88	1388
30	90	1372
31	92	1359
32	95	1347
33	97	1338
34	100	1328
35	102	1322
36	104	1313
37	107	1304
38	109	1297
39	111	1286
40	113	1276
41	116	1265
42	118	1254
43	120	1245
44	122	1236
45	124	1227
46	126	1218
47	128	1209
48	130	1203
49	132	1194
50	134	1187
51	136	1179
52	139	1173
53	141	1166
54	143	1159
55	145	1153
56	147	1146
57	149	1140
58	151	1133
59	153	1128
60	156	1123
61	158	1117
62	160	1110
63	162	1105
64	164	1099
65	166	1094
66	168	1089
67	170	1084
68	172	1079
69	174	1074
70	176	1068
71	178	1063
72	180	1057
73	182	1053
74	185	1049
75	187	1047
76	189	1043
77	192	1039
78	194	1036
79	196	1032
80	198	1028
81	201	1024
82	203	1020
83	205	1016
84	207	1012
85	209	1007
86	211	1003
87	213	998
88	215	994
89	217	990
90	219	986
91	221	983
92	223	979
93	225	975
94	227	971
95	229	967
96	232	964
97	234	960
98	236	957
99	238	953
100	240	949
101	242	946
102	244	942
103	246	939
104	248	935
105	250	931
106	252	928
107	254	925
108	256	921
109	258	918
110	261	914
111	263	911
112	265	908
113	267	904
114	269	901
115	271	897
116	273	896
117	275	893
118	278	890
119	280	887
120	282	883
121	284	880
122	286	877
123	288	874
124	290	871
125	292	868
126	294	865
127	296	862
128	298	859
129	300	856
130	302	853
131	304	849
132	306	846
133	309	844
134	311	841
135	313	839
136	315	836
137	317	833
138	319	831
139	322	828
140	324	826
141	326	823
142	328	820
143	330	818
144	333	815
145	335	812
146	337	809
147	339	806
148	341	804
149	343	801
150	345	798
151	347	795
152	349	793
153	351	790
154	353	787
155	356	786
156	359	784
157	361	783
